GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adapter,com.innowise.swimdom.mapper.type,UserRoleMapper,6,36,1,7,1,8,1,5,0,2
adapter,com.innowise.swimdom.mapper.type,UserRoleMapperImpl,0,3,0,0,0,1,0,1,0,1
adapter,com.innowise.swimdom.mapper,SubscriptionMapperImpl,18,207,3,31,3,70,3,25,0,8
adapter,com.innowise.swimdom.mapper,BookingMapper,0,16,0,4,0,6,0,4,0,2
adapter,com.innowise.swimdom.mapper,UserSubscriptionMapperImpl,10,270,8,24,6,82,8,22,0,14
adapter,com.innowise.swimdom.mapper,BookingMapperImpl,58,281,20,26,24,86,20,21,0,16
adapter,com.innowise.swimdom.mapper,AuthMapperImpl,8,156,3,21,2,46,3,14,0,5
adapter,com.innowise.swimdom.mapper,ScheduleMapperImpl,3,179,2,20,2,53,2,18,0,9
adapter,com.innowise.swimdom.mapper,PoolMapperImpl,42,210,10,14,13,54,9,10,0,7
adapter,com.innowise.swimdom.mapper,PoolWorkingHoursMapperImpl,1,223,1,37,1,60,1,26,0,8
adapter,com.innowise.swimdom.controller,PoolController,23,0,0,0,5,0,3,0,3,0
adapter,com.innowise.swimdom.controller,SubscriptionController,56,0,0,0,11,0,7,0,7,0
adapter,com.innowise.swimdom.controller,ScheduleController,81,0,0,0,19,0,9,0,9,0
adapter,com.innowise.swimdom.controller,AuthController,19,0,0,0,3,0,3,0,3,0
adapter,com.innowise.swimdom.controller,BookingController,76,0,2,0,15,0,8,0,7,0
